t_min,t_sec,t_rel,y,q,Q,V
262.0,15720.0,15621.369863013699,0.00016680912106771295,8.254371724588023e-07,0.0003301748689835209,2721.4387348464215
263.0,15780.0,15681.369863013699,0.0001655793534150513,8.153198264872995e-07,0.0003261279305949198,2721.458423930409
264.0,15840.0,15741.369863013699,0.00016436461287850035,8.053751677240257e-07,0.0003221500670896103,2721.4778722703395
265.0,15900.0,15801.369863013699,0.000163164643815509,7.955994267589198e-07,0.0003182397707035679,2721.4970839654734
266.0,15960.0,15861.369863013699,0.00016197919614376025,7.859889342064184e-07,0.00031439557368256735,2721.516063025805
267.0,16020.0,15921.369863013699,0.00016080802519419517,7.76540117585446e-07,0.0003106160470341784,2721.5348133744264
268.0,16080.0,15981.369863013699,0.00015965089156860286,7.672494983110992e-07,0.0003068997993244397,2721.553338849817
269.0,16140.0,16041.369863013699,0.0001585075610016127,7.581136887935117e-07,0.0003032454755174047,2721.571643208062
270.0,16200.0,16101.369863013699,0.00015737780422693328,7.491293896395978e-07,0.00029965175585583914,2721.5897301250034
271.0,16260.0,16161.369863013699,0.00015626139684768797,7.402933869535645e-07,0.0002961173547814258,2721.6076031983225
272.0,16320.0,16221.369863013699,0.00015515811921070318,7.316025497322559e-07,0.0002926410198929024,2721.6252659495626
273.0,16380.0,16281.369863013699,0.00015406775628461073,7.230538273515788e-07,0.0002892215309406315,2721.642721826088
274.0,16440.0,16341.369863013699,0.0001529900975416324,7.146442471404188e-07,0.0002858576988561675,2721.6599742029816
275.0,16500.0,16401.369863013697,0.0001519249368429178,7.0637091203861e-07,0.000282548364815444,2721.6770263848916
276.0,16560.0,16461.369863013697,0.00015087207232731395,6.982309983356761e-07,0.00027929239933427045,2721.693881607816
277.0,16620.0,16521.369863013697,0.00014983130630344881,6.902217534872095e-07,0.0002760887013948838,2721.710543040838
278.0,16680.0,16581.369863013697,0.00014880244514501405,6.823404940058664e-07,0.00027293619760234653,2721.7270137878077
279.0,16740.0,16641.369863013697,0.00014778529918914044,6.745846034241223e-07,0.00026983384136964895,2721.7432968889766
280.0,16800.0,16701.369863013697,0.00014677968263775883,6.669515303260196e-07,0.0002667806121304078,2721.7593953225814
281.0,16860.0,16761.369863013697,0.00014578541346184752,6.594387864452799e-07,0.00026377551457811195,2721.7753120063826
282.0,16920.0,16821.369863013697,0.00014480231330846828,6.520439448272553e-07,0.00026081757793090213,2721.791049799158
283.0,16980.0,16881.369863013697,0.00014383020741049886,6.447646380523081e-07,0.0002579058552209232,2721.8066115021525
284.0,17040.0,16941.369863013697,0.0001428689244989703,6.375985565182893e-07,0.0002550394226073157,2721.8219998604873
285.0,17100.0,17001.369863013697,0.00014191829671792496,6.305434467799171e-07,0.00025221737871196684,2721.837217564527
286.0,17160.0,17061.369863013697,0.00014097815954171056,6.235971099429172e-07,0.0002494388439771669,2721.8522672512076
287.0,17220.0,17121.369863013697,0.0001400483516946308,6.1675740011089e-07,0.000246702960044356,2721.8671515053284
288.0,17280.0,17181.369863013697,0.00013912871507287545,6.100222228829573e-07,0.00024400888915318292,2721.8818728608044
289.0,17340.0,17241.369863013697,0.0001382190946686555,6.033895339003113e-07,0.0002413558135601245,2721.896433801886
290.0,17400.0,17301.369863013697,0.00013731933849647204,5.968573374398695e-07,0.0002387429349759478,2721.910836764342
291.0,17460.0,17361.369863013697,0.00013642929752144992,5.904236850533201e-07,0.00023616947402132804,2721.925084136612
292.0,17520.0,17421.369863013697,0.00013554882558967002,5.840866742498993e-07,0.00023363466969995972,2721.9391782609237
293.0,17580.0,17481.369863013697,0.00013467777936043536,5.778444472213149e-07,0.00023113777888852593,2721.9531214343815
294.0,17640.0,17541.369863013697,0.00013381601824041063,5.716951896073023e-07,0.0002286780758429209,2721.9669159100235
295.0,17700.0,17601.369863013697,0.00013296340431957453,5.656371293003434e-07,0.00022625485172013738,2721.9805638978505
296.0,17760.0,17661.369863013697,0.00013211980230892854,5.596685352881556e-07,0.00022386741411526225,2721.9940675658254
297.0,17820.0,17721.369863013697,0.00013128507947990573,5.537877165325933e-07,0.0002215150866130373,2722.0074290408475
298.0,17880.0,17781.369863013697,0.00013045910560542765,5.479930208836833e-07,0.0002191972083534733,2722.0206504096964
299.0,17940.0,17841.369863013697,0.0001296417529025569,5.422828340275422e-07,0.0002169131336110169,2722.0337337199553
300.0,18000.0,17901.369863013697,0.00012883289597669575,5.36655578466984e-07,0.00021466223138679358,2722.0466809809054
301.0,18060.0,17961.369863013697,0.00012803241176728366,5.311097125336777e-07,0.00021244388501347108,2722.0594941643976
302.0,18120.0,18021.369863013697,0.00012724017949494683,5.256437294307488e-07,0.00021025749177229952,2722.072175205701
303.0,18180.0,18081.369863013697,0.00012645608061005544,5.202561563047653e-07,0.00020810246252190613,2722.08472600433
304.0,18240.0,18141.369863013697,0.00012567999874264532,5.149455533460936e-07,0.00020597822133843746,2722.097148424846
305.0,18300.0,18201.369863013697,0.0001249118196536629,5.097105129166452e-07,0.00020388420516665806,2722.1094442976414
306.0,18360.0,18261.369863013697,0.00012415143118749304,5.045496587040717e-07,0.00020181986348162867,2722.121615419701
307.0,18420.0,18321.369863013697,0.00012339872322573046,4.994616449015046e-07,0.00019978465796060185,2722.1336635553444
308.0,18480.0,18381.369863013697,0.00012265358764215853,4.944451554119681e-07,0.00019777806216478725,2722.145590436948
309.0,18540.0,18441.369863013697,0.00012191591825889825,4.894989030766315e-07,0.00019579956123065258,2722.15739776565
310.0,18600.0,18501.369863013697,0.00012118561080369241,4.846216289260861e-07,0.00019384865157043443,2722.169087212034
311.0,18660.0,18561.369863013697,0.00012046256286829224,4.798121014538844e-07,0.00019192484058155377,2722.1806604167987
312.0,18720.0,18621.369863013697,0.0001197466738679125,4.7506911591158247e-07,0.000190027646364633,2722.192118991407
313.0,18780.0,18681.369863013697,0.00011903784500172464,4.703914936245754e-07,0.00018815659744983015,2722.2034645187214
314.0,18840.0,18741.369863013697,0.00011833597921435667,4.657780813280285e-07,0.0001863112325312114,2722.214698553621
315.0,18900.0,18801.369863013697,0.00011764098115837085,4.6122775052224314e-07,0.00018449110020889726,2722.225822623603
316.0,18960.0,18861.369863013697,0.00011695275715769025,4.567393968468093e-07,0.00018269575873872373,2722.2368382293716
317.0,19020.0,18921.369863013697,0.00011627121517194706,4.5231193947293375e-07,0.0001809247757891735,2722.2477468454076
318.0,19080.0,18981.369863013697,0.0001155962647617256,4.479443205133433e-07,0.00017917772820533732,2722.2585499205275
319.0,19140.0,19041.369863013697,0.00011492781705467406,4.436355044491886e-07,0.00017745420177967542,2722.269248878427
320.0,19200.0,19101.369863013697,0.00011426578471246092,4.3938447757340276e-07,0.0001757537910293611,2722.279845118211
321.0,19260.0,19161.369863013697,0.00011361008189855068,4.3519024744997224e-07,0.0001740760989799889,2722.2903400149116
322.0,19320.0,19221.369863013697,0.00011296062424677659,4.3105184238861495e-07,0.00017242073695544597,2722.3007349199897
323.0,19380.0,19281.369863013697,0.00011231732883068688,4.2696831093436287e-07,0.00017078732437374514,2722.3110311618298
324.0,19440.0,19341.369863013697,0.0001116801141336433,4.2293872137157765e-07,0.00016917548854863105,2722.3212300462174
325.0,19500.0,19401.369863013697,0.00011104890001965056,4.1896216124193695e-07,0.00016758486449677478,2722.331332856809
326.0,19560.0,19461.369863013697,0.00011042360770489558,4.150377368759435e-07,0.0001660150947503774,2722.341340855586
327.0,19620.0,19521.369863013697,0.00010980415972997783,4.111645729375351e-07,0.00016446582917501403,2722.351255283304
328.0,19680.0,19581.369863013697,0.00010919047993281035,4.0734181198137714e-07,0.00016293672479255085,2722.361077359923
329.0,19740.0,19641.369863013697,0.00010858249342217355,4.035686140224408e-07,0.00016142744560897632,2722.370808285035
330.0,19800.0,19701.369863013697,0.00010798012655190338,3.998441561174819e-07,0.00015993766244699277,2722.3804492382765
331.0,19860.0,19761.369863013697,0.00010738330689569677,3.961676319580498e-07,0.00015846705278321993,2722.3900013797333
332.0,19920.0,19821.369863013697,0.00010679196322251671,3.9253825147466567e-07,0.00015701530058986627,2722.3994658503348
333.0,19980.0,19881.369863013697,0.00010620602547258119,3.8895524045182516e-07,0.00015558209618073008,2722.408843772238
334.0,20040.0,19941.369863013697,0.00010562542473391996,3.854178401534939e-07,0.00015416713606139756,2722.4181362492054
335.0,20100.0,20001.369863013697,0.00010505009321948331,3.8192530695876723e-07,0.0001527701227835069,2722.427344366971
336.0,20160.0,20061.369863013697,0.00010447996424478866,3.7847691200739026e-07,0.0001513907648029561,2722.4364691935984
337.0,20220.0,20121.369863013697,0.00010391497220608916,3.7507194085482775e-07,0.0001500287763419311,2722.445511779833
338.0,20280.0,20181.369863013697,0.000103355052559052,3.7170969313660273e-07,0.0001486838772546411,2722.454473159441
339.0,20340.0,20241.369863013697,0.00010280014179793138,3.683894822416174e-07,0.00014735579289664697,2722.4633543495456
340.0,20400.0,20301.369863013697,0.00010225017743522352,3.65110634994185e-07,0.000146044253997674,2722.4721563509524
341.0,20460.0,20361.369863013697,0.00010170509798179077,3.6187249134451163e-07,0.00014474899653780466,2722.4808801484687
342.0,20520.0,20421.369863013697,0.00010116484292744266,3.58674404067376e-07,0.00014346976162695038,2722.489526711214
343.0,20580.0,20481.369863013697,0.00010062935272196102,3.5551573846875644e-07,0.00014220629538750257,2722.4980969929243
344.0,20640.0,20541.369863013697,0.00010009856875655883,3.5239587210017765e-07,0.00014095834884007106,2722.506591932251
345.0,20700.0,20601.369863013697,9.957243334576001e-05,3.493141944805374e-07,0.00013972567779221498,2722.51501245305
346.0,20760.0,20661.369863013697,9.905088970969002e-05,3.4627010682520025e-07,0.0001385080427300801,2722.5233594646656
347.0,20820.0,20721.369863013697,9.853388195676643e-05,3.4326302178213976e-07,0.0001373052087128559,2722.5316338622088
348.0,20880.0,20781.369863013697,9.802135506677878e-05,3.402923631749232e-07,0.00013611694526996927,2722.5398365268284
349.0,20940.0,20841.369863013697,9.751325487434811e-05,3.3735756575233906e-07,0.00013494302630093563,2722.5479683259755
350.0,21000.0,20901.369863013697,9.700952805275574e-05,3.3445807494447116e-07,0.00013378322997778847,2722.556030113664
351.0,21060.0,20961.369863013697,9.651012209813275e-05,3.3159334662503597e-07,0.0001326373386500144,2722.5640227307226
352.0,21120.0,21021.369863013697,9.601498531399993e-05,3.287628468797973e-07,0.0001315051387519189,2722.571947005045
353.0,21180.0,21081.369863013697,9.552406679614994e-05,3.2596605178088573e-07,0.0001303864207123543,2722.579803751829
354.0,21240.0,21141.369863013697,9.503731641786258e-05,3.232024471668511e-07,0.00012928097886674044,2722.587593773816
355.0,21300.0,21201.369863013697,9.455468481544521e-05,3.204715284282858e-07,0.0001281886113713143,2722.595317861523
